IP 地址,已发送,已接收,丢包率,平均延迟,下载速度 (MB/s)
104.18.75.145,4,3,0.25,1.69,10.92
104.18.167.123,4,4,0.00,1.56,10.24
104.19.219.167,4,3,0.25,0.79,9.99
104.18.152.229,4,3,0.25,1.87,9.83
104.18.151.147,4,3,0.25,1.66,9.80
104.18.67.178,4,3,0.25,1.71,9.73
104.18.171.181,4,4,0.00,1.43,9.60
104.17.192.216,4,3,0.25,8.46,9.49
104.18.77.223,4,3,0.25,4.87,9.45
104.20.180.243,4,3,0.25,4.68,9.43
104.18.73.20,4,3,0.25,1.57,9.38
104.17.255.131,4,3,0.25,0.77,9.35
104.16.8.206,4,3,0.25,0.80,9.07
104.17.72.253,4,3,0.25,4.76,9.00
104.18.170.60,4,4,0.00,1.44,8.73
104.20.99.160,4,3,0.25,8.15,8.52
104.17.195.239,4,3,0.25,7.09,8.46
104.18.70.122,4,3,0.25,1.65,8.27
104.20.115.106,4,3,0.25,5.49,8.23
104.20.90.100,4,3,0.25,7.12,8.22
104.18.159.217,4,3,0.25,1.61,8.16
172.64.232.154,4,3,0.25,1.96,8.13
104.25.113.60,4,4,0.00,1.22,8.12
104.17.194.85,4,3,0.25,6.48,8.06
104.18.13.142,4,3,0.25,3.89,8.05
104.17.254.118,4,3,0.25,1.40,8.03
104.19.1.227,4,3,0.25,1.93,8.00
104.18.3.210,4,3,0.25,9.21,7.85
188.114.97.188,4,3,0.25,1.40,7.83
104.18.79.194,4,3,0.25,3.17,7.79
104.16.219.5,4,4,0.00,2.34,7.75
104.22.15.9,4,4,0.00,1.59,7.74
104.17.244.163,4,3,0.25,3.61,7.68
104.25.120.114,4,3,0.25,1.37,7.66
104.18.163.141,4,4,0.00,1.38,7.49
104.18.162.38,4,4,0.00,1.35,7.47
104.16.83.88,4,3,0.25,1.76,7.42
104.19.128.14,4,3,0.25,0.91,7.41
104.17.66.189,4,4,0.00,5.40,7.37
104.16.138.27,4,3,0.25,1.57,7.31
104.21.107.130,4,3,0.25,8.90,7.28
104.20.188.125,4,3,0.25,3.68,7.26
104.18.104.64,4,3,0.25,3.66,7.25
104.20.28.149,4,3,0.25,7.32,7.23
104.18.172.29,4,3,0.25,1.54,7.21
104.24.216.118,4,3,0.25,3.38,7.18
104.16.218.91,4,4,0.00,2.30,7.15
104.20.177.89,4,3,0.25,8.70,7.09
104.18.99.52,4,3,0.25,1.37,7.06
104.18.97.141,4,3,0.25,1.43,7.04
